Club,Position,Starter_Name,Starter_Rating,Backup_Name,Backup_Rating,Gap
FC Barcelona,Goalkeeper,M. ter Stegen,89,J. Cillessen,82,7
FC Barcelona,Defender,S. Umtiti,87,Jordi Alba,87,0
FC Barcelona,Midfielder,Sergio Busquets,89,I. Rakitić,87,2
FC Barcelona,Attacker,L. Messi,94,L. Suárez,91,3
Juventus,Goalkeeper,W. Szczęsny,85,M. Perin,84,1
Juventus,Defender,G. Chiellini,89,Alex Sandro,86,3
Juventus,Midfielder,Douglas Costa,86,M. Pjanić,86,0
Juventus,Attacker,Cristiano Ronaldo,94,P. Dybala,89,5
Paris Saint-Germain,Goalkeeper,G. Buffon,88,A. Areola,81,7
Paris Saint-Germain,Defender,Thiago Silva,88,P. Kimpembe,83,5
Paris Saint-Germain,Midfielder,K. Mbappé,88,M. Verratti,86,2
Paris Saint-Germain,Attacker,Neymar Jr,92,E. Cavani,89,3
Manchester United,Goalkeeper,De Gea,91,S. Romero,80,11
Manchester United,Defender,E. Bailly,81,C. Smalling,81,0
Manchester United,Midfielder,N. Matić,84,Juan Mata,83,1
Manchester United,Attacker,R. Lukaku,87,A. Sánchez,85,2
Manchester City,Goalkeeper,Ederson,86,C. Bravo,78,8
Manchester City,Defender,N. Otamendi,85,V. Kompany,85,0
Manchester City,Midfielder,K. De Bruyne,91,David Silva,90,1
Manchester City,Attacker,S. Agüero,89,L. Sané,86,3
Chelsea,Goalkeeper,Kepa,83,W. Caballero,76,7
Chelsea,Defender,Azpilicueta,86,Marcos Alonso,83,3
Chelsea,Midfielder,Jorginho,84,M. Kovačić,83,1
Chelsea,Attacker,E. Hazard,91,Willian,84,7
Real Madrid,Goalkeeper,T. Courtois,89,K. Navas,87,2
Real Madrid,Defender,Sergio Ramos,91,Marcelo,88,3
Real Madrid,Midfielder,L. Modrić,91,T. Kroos,90,1
Real Madrid,Attacker,Isco,88,G. Bale,88,0
Atlético Madrid,Goalkeeper,J. Oblak,90,Adán,83,7
Atlético Madrid,Defender,D. Godín,90,Filipe Luís,85,5
Atlético Madrid,Midfielder,A. Griezmann,89,Saúl,85,4
Atlético Madrid,Attacker,Diego Costa,85,N. Kalinić,79,6
FC Bayern München,Goalkeeper,M. Neuer,89,S. Ulreich,80,9
FC Bayern München,Defender,M. Hummels,88,D. Alaba,85,3
FC Bayern München,Midfielder,J. Rodríguez,88,T. Müller,86,2
FC Bayern München,Attacker,R. Lewandowski,90,S. Gnabry,83,7
Tottenham Hotspur,Goalkeeper,H. Lloris,88,M. Vorm,77,11
